# Data by ClimateChangeTracker.org, generated 17 June 2025 09:26.
# 
# You must credit any use of this data like shown on https://climatechangetracker.org/data-api
# 
"year","anthropogenic_c","anthropogenic_c_unc_lower","anthropogenic_c_unc_upper","observed_c","anthropogenic_f","anthropogenic_f_unc_lower","anthropogenic_f_unc_upper","observed_f"
1850,-0.03,-0.17,0.06,-0.05,-0.05,-0.31,0.11,-0.09
1851,-0.04,-0.18,0.06,0.04,-0.07,-0.32,0.11,0.08
1852,-0.04,-0.17,0.05,0.09,-0.07,-0.31,0.09,0.16
1853,-0.03,-0.12,0.05,0.05,-0.05,-0.22,0.09,0.1
1854,-0.01,-0.18,0.16,0.05,-0.02,-0.32,0.29,0.09
1855,-0.02,-0.25,0.19,0.06,-0.04,-0.45,0.34,0.11
1856,-0.03,-0.17,0.04,-0.02,-0.05,-0.31,0.07,-0.04
1857,-0.02,-0.17,0.09,-0.13,-0.04,-0.31,0.16,-0.24
1858,-0.01,-0.12,0.13,-0.03,-0.02,-0.22,0.23,-0.05
1859,0.01,-0.07,0.16,0.06,0.02,-0.13,0.29,0.1
1860,-0.01,-0.12,0.09,-0.06,-0.02,-0.22,0.16,-0.11
1861,-0.02,-0.14,0.07,-0.12,-0.04,-0.25,0.13,-0.21
1862,-0.02,-0.23,0.14,-0.18,-0.04,-0.41,0.25,-0.33
1863,-0.01,-0.22,0.17,-0.03,-0.02,-0.4,0.31,-0.05
1864,-0.02,-0.13,0.03,-0.05,-0.04,-0.23,0.05,-0.09
1865,-0.03,-0.19,0.06,0.04,-0.05,-0.34,0.11,0.07
1866,-0.02,-0.18,0.08,0.03,-0.04,-0.32,0.14,0.06
1867,-0,-0.12,0.13,0.03,-0,-0.22,0.23,0.06
1868,-0.01,-0.11,0.09,0.05,-0.02,-0.2,0.16,0.1
1869,-0.01,-0.22,0.16,0.06,-0.02,-0.4,0.29,0.1
1870,-0.01,-0.15,0.12,0.02,-0.02,-0.27,0.22,0.04
1871,-0.01,-0.13,0.09,-0,-0.02,-0.23,0.16,-0
1872,-0.01,-0.11,0.08,0.03,-0.02,-0.2,0.14,0.05
